I, [2016-08-01T14:39:07.447289 #1025]  INFO -- Kitchen: -----> Starting Kitchen (v1.10.2)
E, [2016-08-01T14:39:07.447646 #1025] ERROR -- Kitchen: ------Exception-------
E, [2016-08-01T14:39:07.447681 #1025] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-08-01T14:39:07.447705 #1025] ERROR -- Kitchen: Message: Kitchen YAML file /root/chef-repo/cookbooks/awesome_customers_rhel/.kitchen.yml does not exist.
E, [2016-08-01T14:39:07.447728 #1025] ERROR -- Kitchen: ----------------------
E, [2016-08-01T14:39:07.447749 #1025] ERROR -- Kitchen: ------Backtrace-------
E, [2016-08-01T14:39:07.447770 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-08-01T14:39:07.447791 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:154:in `data'
E, [2016-08-01T14:39:07.447812 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:133:in `suites'
E, [2016-08-01T14:39:07.447834 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:184:in `filter_instances'
E, [2016-08-01T14:39:07.447870 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:143:in `build_instances'
E, [2016-08-01T14:39:07.447892 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:119:in `instances'
E, [2016-08-01T14:39:07.447913 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-08-01T14:39:07.447934 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-08-01T14:39:07.447956 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command/action.rb:38:in `block in call'
E, [2016-08-01T14:39:07.447977 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2016-08-01T14:39:07.447998 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command/action.rb:37:in `call'
E, [2016-08-01T14:39:07.448019 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/cli.rb:56:in `perform'
E, [2016-08-01T14:39:07.448040 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/cli.rb:184:in `block (2 levels) in <class:CLI>'
E, [2016-08-01T14:39:07.448062 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-08-01T14:39:07.448083 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-08-01T14:39:07.448105 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/cli.rb:325:in `invoke_task'
E, [2016-08-01T14:39:07.448126 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-08-01T14:39:07.448147 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-08-01T14:39:07.448168 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/bin/kitchen:13:in `block in <top (required)>'
E, [2016-08-01T14:39:07.448189 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2016-08-01T14:39:07.448226 #1025] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/bin/kitchen:13:in `<top (required)>'
E, [2016-08-01T14:39:07.448248 #1025] ERROR -- Kitchen: /usr/bin/kitchen:17:in `load'
E, [2016-08-01T14:39:07.448268 #1025] ERROR -- Kitchen: /usr/bin/kitchen:17:in `<main>'
E, [2016-08-01T14:39:07.448294 #1025] ERROR -- Kitchen: ----End Backtrace-----
